2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9736; phi 0.0006; x 0.7487; y 0.0005; t_rel 0.9991;
2 r 14.9480; phi 0.0013; x 0.7474; y 0.0010; t_rel 0.9982;
2 r 14.9224; phi 0.0019; x 0.7461; y 0.0014; t_rel 0.9973;
2 r 14.8970; phi 0.0025; x 0.7448; y 0.0019; t_rel 0.9964;
2 r 14.8716; phi 0.0032; x 0.7436; y 0.0023; t_rel 0.9956;
2 r 14.8464; phi 0.0038; x 0.7423; y 0.0028; t_rel 0.9947;
2 r 14.8212; phi 0.0044; x 0.7411; y 0.0033; t_rel 0.9938;
2 r 14.7961; phi 0.0050; x 0.7398; y 0.0037; t_rel 0.9929;
2 r 14.7712; phi 0.0057; x 0.7385; y 0.0042; t_rel 0.9921;
2 r 14.7462; phi 0.0063; x 0.7373; y 0.0046; t_rel 0.9912;
2 r 14.7214; phi 0.0069; x 0.7361; y 0.0051; t_rel 0.9904;
2 r 14.6967; phi 0.0076; x 0.7348; y 0.0056; t_rel 0.9895;
2 r 14.6721; phi 0.0082; x 0.7336; y 0.0060; t_rel 0.9887;
2 r 14.6475; phi 0.0088; x 0.7323; y 0.0065; t_rel 0.9878;
2 r 14.6231; phi 0.0094; x 0.7311; y 0.0069; t_rel 0.9870;
2 r 14.5987; phi 0.0101; x 0.7299; y 0.0074; t_rel 0.9861;
2 r 14.5744; phi 0.0107; x 0.7287; y 0.0078; t_rel 0.9853;
2 r 14.5502; phi 0.0113; x 0.7275; y 0.0082; t_rel 0.9844;
2 r 14.5261; phi 0.0120; x 0.7263; y 0.0087; t_rel 0.9836;
2 r 14.5020; phi 0.0126; x 0.7250; y 0.0091; t_rel 0.9828;
2 r 14.4781; phi 0.0132; x 0.7238; y 0.0096; t_rel 0.9819;
2 r 14.4542; phi 0.0138; x 0.7226; y 0.0100; t_rel 0.9811;
2 r 14.4304; phi 0.0145; x 0.7214; y 0.0104; t_rel 0.9803;
2 r 14.4067; phi 0.0151; x 0.7203; y 0.0109; t_rel 0.9794;
2 r 14.3831; phi 0.0157; x 0.7191; y 0.0113; t_rel 0.9786;
2 r 14.3596; phi 0.0164; x 0.7179; y 0.0117; t_rel 0.9778;
2 r 14.3361; phi 0.0170; x 0.7167; y 0.0122; t_rel 0.9770;
2 r 14.3127; phi 0.0176; x 0.7155; y 0.0126; t_rel 0.9762;
2 r 14.2894; phi 0.0182; x 0.7144; y 0.0130; t_rel 0.9754;
2 r 14.2662; phi 0.0189; x 0.7132; y 0.0135; t_rel 0.9745;
2 r 14.2431; phi 0.0195; x 0.7120; y 0.0139; t_rel 0.9737;
2 r 14.2200; phi 0.0201; x 0.7109; y 0.0143; t_rel 0.9729;
2 r 14.1970; phi 0.0208; x 0.7097; y 0.0147; t_rel 0.9721;
2 r 14.1741; phi 0.0214; x 0.7085; y 0.0152; t_rel 0.9713;
2 r 14.1513; phi 0.0220; x 0.7074; y 0.0156; t_rel 0.9705;
2 r 14.1286; phi 0.0226; x 0.7062; y 0.0160; t_rel 0.9698;
2 r 14.1059; phi 0.0233; x 0.7051; y 0.0164; t_rel 0.9690;
2 r 14.0833; phi 0.0239; x 0.7040; y 0.0168; t_rel 0.9682;
2 r 14.0608; phi 0.0245; x 0.7028; y 0.0172; t_rel 0.9674;
2 r 14.0384; phi 0.0252; x 0.7017; y 0.0177; t_rel 0.9666;
2 r 14.0160; phi 0.0258; x 0.7006; y 0.0181; t_rel 0.9658;
2 r 13.9937; phi 0.0264; x 0.6994; y 0.0185; t_rel 0.9650;
2 r 13.9715; phi 0.0270; x 0.6983; y 0.0189; t_rel 0.9643;
2 r 13.9494; phi 0.0277; x 0.6972; y 0.0193; t_rel 0.9635;
2 r 13.9273; phi 0.0283; x 0.6961; y 0.0197; t_rel 0.9627;
2 r 13.9053; phi 0.0289; x 0.6950; y 0.0201; t_rel 0.9620;
2 r 13.8834; phi 0.0295; x 0.6939; y 0.0205; t_rel 0.9612;
2 r 13.8616; phi 0.0302; x 0.6928; y 0.0209; t_rel 0.9604;
2 r 13.8398; phi 0.0308; x 0.6917; y 0.0213; t_rel 0.9597;
2 r 13.8181; phi 0.0314; x 0.6906; y 0.0217; t_rel 0.9589;
2 r 13.7965; phi 0.0321; x 0.6895; y 0.0221; t_rel 0.9581;
2 r 13.7749; phi 0.0327; x 0.6884; y 0.0225; t_rel 0.9574;
2 r 13.7534; phi 0.0333; x 0.6873; y 0.0229; t_rel 0.9566;
2 r 13.7320; phi 0.0339; x 0.6862; y 0.0233; t_rel 0.9559;
2 r 13.7107; phi 0.0346; x 0.6851; y 0.0237; t_rel 0.9551;
2 r 13.6894; phi 0.0352; x 0.6840; y 0.0241; t_rel 0.9544;
2 r 13.6682; phi 0.0358; x 0.6830; y 0.0245; t_rel 0.9537;
2 r 13.6471; phi 0.0365; x 0.6819; y 0.0249; t_rel 0.9529;
2 r 13.6260; phi 0.0371; x 0.6808; y 0.0253; t_rel 0.9522;
2 r 13.6051; phi 0.0377; x 0.6798; y 0.0257; t_rel 0.9514;
