2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9991; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9649; phi -0.0006; x 0.7482; y -0.0005; t_rel 0.9988;
2 r 14.9309; phi -0.0013; x 0.7465; y -0.0010; t_rel 0.9976;
2 r 14.8970; phi -0.0019; x 0.7449; y -0.0014; t_rel 0.9964;
2 r 14.8633; phi -0.0025; x 0.7432; y -0.0019; t_rel 0.9952;
2 r 14.8298; phi -0.0032; x 0.7415; y -0.0023; t_rel 0.9940;
2 r 14.7964; phi -0.0038; x 0.7398; y -0.0028; t_rel 0.9928;
2 r 14.7632; phi -0.0044; x 0.7382; y -0.0033; t_rel 0.9917;
2 r 14.7301; phi -0.0050; x 0.7365; y -0.0037; t_rel 0.9905;
2 r 14.6971; phi -0.0057; x 0.7348; y -0.0042; t_rel 0.9894;
2 r 14.6644; phi -0.0063; x 0.7332; y -0.0046; t_rel 0.9882;
2 r 14.6317; phi -0.0069; x 0.7316; y -0.0051; t_rel 0.9870;
2 r 14.5993; phi -0.0076; x 0.7299; y -0.0055; t_rel 0.9859;
2 r 14.5669; phi -0.0082; x 0.7283; y -0.0060; t_rel 0.9848;
2 r 14.5348; phi -0.0088; x 0.7267; y -0.0064; t_rel 0.9836;
2 r 14.5027; phi -0.0094; x 0.7251; y -0.0069; t_rel 0.9825;
2 r 14.4708; phi -0.0101; x 0.7235; y -0.0073; t_rel 0.9814;
2 r 14.4391; phi -0.0107; x 0.7219; y -0.0077; t_rel 0.9803;
2 r 14.4075; phi -0.0113; x 0.7203; y -0.0082; t_rel 0.9791;
2 r 14.3760; phi -0.0120; x 0.7187; y -0.0086; t_rel 0.9780;
2 r 14.3447; phi -0.0126; x 0.7172; y -0.0090; t_rel 0.9769;
2 r 14.3135; phi -0.0132; x 0.7156; y -0.0095; t_rel 0.9758;
2 r 14.2825; phi -0.0139; x 0.7141; y -0.0099; t_rel 0.9747;
2 r 14.2516; phi -0.0145; x 0.7125; y -0.0103; t_rel 0.9736;
2 r 14.2208; phi -0.0151; x 0.7110; y -0.0107; t_rel 0.9725;
