2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9731; phi 0.0006; x 0.7487; y 0.0005; t_rel 0.9991;
2 r 14.9470; phi 0.0013; x 0.7473; y 0.0010; t_rel 0.9982;
2 r 14.9210; phi 0.0019; x 0.7460; y 0.0014; t_rel 0.9973;
2 r 14.8950; phi 0.0025; x 0.7447; y 0.0019; t_rel 0.9964;
2 r 14.8692; phi 0.0032; x 0.7435; y 0.0023; t_rel 0.9955;
2 r 14.8435; phi 0.0038; x 0.7422; y 0.0028; t_rel 0.9946;
2 r 14.8179; phi 0.0044; x 0.7409; y 0.0033; t_rel 0.9937;
2 r 14.7923; phi 0.0050; x 0.7396; y 0.0037; t_rel 0.9928;
2 r 14.7669; phi 0.0057; x 0.7383; y 0.0042; t_rel 0.9919;
2 r 14.7415; phi 0.0063; x 0.7371; y 0.0046; t_rel 0.9910;
2 r 14.7162; phi 0.0069; x 0.7358; y 0.0051; t_rel 0.9902;
2 r 14.6910; phi 0.0076; x 0.7345; y 0.0056; t_rel 0.9893;
2 r 14.6660; phi 0.0082; x 0.7333; y 0.0060; t_rel 0.9884;
2 r 14.6410; phi 0.0088; x 0.7320; y 0.0065; t_rel 0.9876;
2 r 14.6161; phi 0.0094; x 0.7308; y 0.0069; t_rel 0.9867;
2 r 14.5912; phi 0.0101; x 0.7295; y 0.0073; t_rel 0.9858;
2 r 14.5665; phi 0.0107; x 0.7283; y 0.0078; t_rel 0.9850;
2 r 14.5419; phi 0.0113; x 0.7270; y 0.0082; t_rel 0.9841;
2 r 14.5173; phi 0.0120; x 0.7258; y 0.0087; t_rel 0.9833;
2 r 14.4928; phi 0.0126; x 0.7246; y 0.0091; t_rel 0.9824;
2 r 14.4685; phi 0.0132; x 0.7234; y 0.0096; t_rel 0.9816;
2 r 14.4442; phi 0.0138; x 0.7221; y 0.0100; t_rel 0.9807;
2 r 14.4200; phi 0.0145; x 0.7209; y 0.0104; t_rel 0.9799;
2 r 14.3958; phi 0.0151; x 0.7197; y 0.0109; t_rel 0.9790;
2 r 14.3718; phi 0.0157; x 0.7185; y 0.0113; t_rel 0.9782;
2 r 14.3479; phi 0.0164; x 0.7173; y 0.0117; t_rel 0.9774;
2 r 14.3240; phi 0.0170; x 0.7161; y 0.0122; t_rel 0.9765;
2 r 14.3002; phi 0.0176; x 0.7149; y 0.0126; t_rel 0.9757;
2 r 14.2765; phi 0.0182; x 0.7137; y 0.0130; t_rel 0.9749;
2 r 14.2529; phi 0.0189; x 0.7125; y 0.0134; t_rel 0.9741;
2 r 14.2293; phi 0.0195; x 0.7113; y 0.0139; t_rel 0.9732;
2 r 14.2059; phi 0.0201; x 0.7102; y 0.0143; t_rel 0.9724;
2 r 14.1825; phi 0.0208; x 0.7090; y 0.0147; t_rel 0.9716;
2 r 14.1592; phi 0.0214; x 0.7078; y 0.0151; t_rel 0.9708;
2 r 14.1360; phi 0.0220; x 0.7066; y 0.0156; t_rel 0.9700;
2 r 14.1129; phi 0.0226; x 0.7055; y 0.0160; t_rel 0.9692;
2 r 14.0898; phi 0.0233; x 0.7043; y 0.0164; t_rel 0.9684;
2 r 14.0669; phi 0.0239; x 0.7031; y 0.0168; t_rel 0.9676;
2 r 14.0440; phi 0.0245; x 0.7020; y 0.0172; t_rel 0.9668;
2 r 14.0212; phi 0.0252; x 0.7008; y 0.0176; t_rel 0.9660;
2 r 13.9984; phi 0.0258; x 0.6997; y 0.0180; t_rel 0.9652;
2 r 13.9758; phi 0.0264; x 0.6985; y 0.0185; t_rel 0.9644;
2 r 13.9532; phi 0.0270; x 0.6974; y 0.0189; t_rel 0.9636;
2 r 13.9307; phi 0.0277; x 0.6963; y 0.0193; t_rel 0.9628;
2 r 13.9083; phi 0.0283; x 0.6951; y 0.0197; t_rel 0.9620;
2 r 13.8859; phi 0.0289; x 0.6940; y 0.0201; t_rel 0.9612;
2 r 13.8636; phi 0.0296; x 0.6929; y 0.0205; t_rel 0.9605;
2 r 13.8415; phi 0.0302; x 0.6918; y 0.0209; t_rel 0.9597;
2 r 13.8193; phi 0.0308; x 0.6906; y 0.0213; t_rel 0.9589;
2 r 13.7973; phi 0.0314; x 0.6895; y 0.0217; t_rel 0.9581;
2 r 13.7753; phi 0.0321; x 0.6884; y 0.0221; t_rel 0.9574;
2 r 13.7534; phi 0.0327; x 0.6873; y 0.0225; t_rel 0.9566;
2 r 13.7316; phi 0.0333; x 0.6862; y 0.0229; t_rel 0.9558;
2 r 13.7098; phi 0.0340; x 0.6851; y 0.0233; t_rel 0.9551;
2 r 13.6882; phi 0.0346; x 0.6840; y 0.0237; t_rel 0.9543;
2 r 13.6666; phi 0.0352; x 0.6829; y 0.0241; t_rel 0.9535;
2 r 13.6450; phi 0.0358; x 0.6818; y 0.0244; t_rel 0.9528;
2 r 13.6236; phi 0.0365; x 0.6807; y 0.0248; t_rel 0.9520;
2 r 13.6022; phi 0.0371; x 0.6796; y 0.0252; t_rel 0.9513;
2 r 13.5809; phi 0.0377; x 0.6786; y 0.0256; t_rel 0.9505;
2 r 13.5596; phi 0.0383; x 0.6775; y 0.0260; t_rel 0.9498;
2 r 13.5384; phi 0.0390; x 0.6764; y 0.0264; t_rel 0.9490;
2 r 13.5173; phi 0.0396; x 0.6753; y 0.0268; t_rel 0.9483;
2 r 13.4963; phi 0.0402; x 0.6743; y 0.0271; t_rel 0.9476;
2 r 13.4753; phi 0.0409; x 0.6732; y 0.0275; t_rel 0.9468;
2 r 13.4544; phi 0.0415; x 0.6721; y 0.0279; t_rel 0.9461;
2 r 13.4336; phi 0.0421; x 0.6711; y 0.0283; t_rel 0.9454;
2 r 13.4128; phi 0.0427; x 0.6700; y 0.0287; t_rel 0.9446;
2 r 13.3921; phi 0.0434; x 0.6690; y 0.0290; t_rel 0.9439;
